epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.313,1.30822,3.40604,1.13588,0.94569,0.35537,0.58108,0.37869,1.24823,3.8122,1.08878,0.000655738,0.000655738,0.000655738
2,747.284,1.36522,2.50339,1.18915,0.75696,0.5085,0.59482,0.41531,1.29326,2.88812,1.23483,0.00119149,0.00119149,0.00119149
3,1116.26,1.33871,2.04857,1.20023,0.86314,0.52381,0.60352,0.38087,1.33281,2.44352,1.26023,0.00159523,0.00159523,0.00159523
4,1484.38,1.32233,1.6861,1.19332,0.80633,0.68707,0.74832,0.52767,1.1339,1.6484,1.14303,0.001406,0.001406,0.001406
5,1854.32,1.2964,1.50051,1.16956,0.89453,0.7551,0.82542,0.54471,1.17726,1.33708,1.13306,0.001208,0.001208,0.001208
6,2212.9,1.24115,1.33953,1.16301,0.90149,0.7551,0.84684,0.59425,1.06846,1.20357,1.06591,0.00101,0.00101,0.00101
7,2574.7,1.13539,1.11988,1.09371,0.87715,0.82313,0.8945,0.60628,1.07124,0.96161,1.07857,0.000812,0.000812,0.000812
8,2934.46,1.10733,1.00536,1.06513,0.95845,0.84354,0.91692,0.63073,1.06379,0.87581,1.05491,0.000614,0.000614,0.000614
9,3307,1.05774,0.91707,1.05689,0.9372,0.87755,0.91722,0.66089,1.02094,0.81585,1.04011,0.000416,0.000416,0.000416
10,3695.13,1.04108,0.84229,1.03815,0.97132,0.85034,0.92793,0.66547,1.00227,0.71588,1.01224,0.000218,0.000218,0.000218
