epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,129.644,0.68616,0.74048,1,0.64584,0.00332853,0.00332853,0.00332853
2,254.064,0.67446,0.74177,1,0.62904,0.00659591,0.00659591,0.00659591
3,377.635,0.65092,0.75,1,0.67281,0.00979729,0.00979729,0.00979729
4,501.65,0.64774,0.74978,1,0.63259,0.009703,0.009703,0.009703
5,623.442,0.63294,0.74913,1,0.62715,0.009604,0.009604,0.009604
6,747.043,0.63593,0.75,1,0.63675,0.009505,0.009505,0.009505
7,870.553,0.61735,0.7487,1,0.62552,0.009406,0.009406,0.009406
8,994.277,0.61557,0.7487,1,0.6164,0.009307,0.009307,0.009307
9,1117.25,0.6023,0.75216,1,0.61802,0.009208,0.009208,0.009208
10,1239.13,0.596,0.75043,1,0.58831,0.009109,0.009109,0.009109
11,1361.98,0.58364,0.75714,1,0.60659,0.00901,0.00901,0.00901
12,1488.08,0.57118,0.75714,1,0.56362,0.008911,0.008911,0.008911
13,1608.11,0.56295,0.7645,1,0.55929,0.008812,0.008812,0.008812
14,1730.97,0.5532,0.78074,1,0.53521,0.008713,0.008713,0.008713
15,1853.09,0.54485,0.77727,1,0.55834,0.008614,0.008614,0.008614
16,1975.59,0.53296,0.78528,1,0.53656,0.008515,0.008515,0.008515
17,2097.02,0.52664,0.78636,1,0.52757,0.008416,0.008416,0.008416
18,2220.13,0.51594,0.78225,1,0.5455,0.008317,0.008317,0.008317
19,2342.04,0.51273,0.79048,1,0.53797,0.008218,0.008218,0.008218
20,2464.54,0.50313,0.79437,1,0.54732,0.008119,0.008119,0.008119
21,2586.57,0.49378,0.78788,1,0.55445,0.00802,0.00802,0.00802
22,2711.43,0.49854,0.79286,1,0.54503,0.007921,0.007921,0.007921
23,2832.97,0.48224,0.79286,1,0.57722,0.007822,0.007822,0.007822
24,2955.43,0.47857,0.79416,1,0.55852,0.007723,0.007723,0.007723
25,3075.54,0.47249,0.79329,1,0.56634,0.007624,0.007624,0.007624
26,3207.61,0.4705,0.79264,1,0.5786,0.007525,0.007525,0.007525
27,3339.27,0.45952,0.79654,1,0.56194,0.007426,0.007426,0.007426
28,3477.48,0.46609,0.7974,1,0.54227,0.007327,0.007327,0.007327
29,3622.56,0.45485,0.79372,1,0.57543,0.007228,0.007228,0.007228
30,3762.13,0.44605,0.79848,1,0.60218,0.007129,0.007129,0.007129
31,3884.88,0.44177,0.79351,1,0.57465,0.00703,0.00703,0.00703
32,4009.43,0.44124,0.79805,1,0.57211,0.006931,0.006931,0.006931
33,4131.77,0.42598,0.80108,1,0.58296,0.006832,0.006832,0.006832
34,4261.54,0.42653,0.80281,1,0.60917,0.006733,0.006733,0.006733
35,4402.3,0.4235,0.79784,1,0.5878,0.006634,0.006634,0.006634
36,4538.29,0.41813,0.8039,1,0.6095,0.006535,0.006535,0.006535
37,4687.64,0.41446,0.8013,1,0.61736,0.006436,0.006436,0.006436
38,4828.08,0.41318,0.80433,1,0.58542,0.006337,0.006337,0.006337
39,4960.86,0.40884,0.80455,1,0.60429,0.006238,0.006238,0.006238
40,5084.93,0.3967,0.80649,1,0.66219,0.006139,0.006139,0.006139
41,5240.56,0.39691,0.8039,1,0.63745,0.00604,0.00604,0.00604
42,5371.81,0.39441,0.8039,1,0.66584,0.005941,0.005941,0.005941
43,5500.04,0.39374,0.8013,1,0.64547,0.005842,0.005842,0.005842
44,5633.28,0.38611,0.8039,1,0.65861,0.005743,0.005743,0.005743
45,5764.27,0.38418,0.80476,1,0.65638,0.005644,0.005644,0.005644
46,5888.24,0.38448,0.80216,1,0.64252,0.005545,0.005545,0.005545
47,6014.86,0.38491,0.80216,1,0.62154,0.005446,0.005446,0.005446
48,6159.57,0.37502,0.80649,1,0.63353,0.005347,0.005347,0.005347
49,6311.9,0.37067,0.80498,1,0.66422,0.005248,0.005248,0.005248
50,6469.02,0.37436,0.80173,1,0.67189,0.005149,0.005149,0.005149
51,6609.39,0.36639,0.80433,1,0.65037,0.00505,0.00505,0.00505
52,6741.5,0.36636,0.80411,1,0.65706,0.004951,0.004951,0.004951
53,6871.08,0.36056,0.80606,1,0.65221,0.004852,0.004852,0.004852
54,7006.93,0.35179,0.80563,1,0.67535,0.004753,0.004753,0.004753
55,7143.25,0.35389,0.80281,1,0.686,0.004654,0.004654,0.004654
56,7268.46,0.34872,0.80303,1,0.69224,0.004555,0.004555,0.004555
57,7409.33,0.35443,0.80303,1,0.68378,0.004456,0.004456,0.004456
58,7541.68,0.34037,0.80173,1,0.71128,0.004357,0.004357,0.004357
59,7682.35,0.34002,0.80498,1,0.71495,0.004258,0.004258,0.004258
